WalletId|NftId|Date1|Date2|TotalDays|Interest
0x5Bd9F218debEe168C7DE870567657262A5137f2a|0|2022-04-26|2022-05-20|25|41.095890410958916
0x5Bd9F218debEe168C7DE870567657262A5137f2a|1|2022-04-26|2022-05-08|13|21.369863013698627
0x5Bd9F218debEe168C7DE870567657262A5137f2a|2|2022-04-26|2022-05-22|27|44.383561643835634
0x5Bd9F218debEe168C7DE870567657262A5137f2a|3|2022-04-26|2022-05-04|9|14.794520547945202
0x5Bd9F218debEe168C7DE870567657262A5137f2a|4|2022-04-26|2022-05-02|7|11.506849315068491
0x5Bd9F218debEe168C7DE870567657262A5137f2a|5|2022-04-26|2022-05-04|9|14.794520547945202
0x5Bd9F218debEe168C7DE870567657262A5137f2a|6|2022-04-26|2022-06-13|49|80.54794520547946
0x5Bd9F218debEe168C7DE870567657262A5137f2a|8|2022-04-26|2022-05-15|20|32.87671232876712
0x5Bd9F218debEe168C7DE870567657262A5137f2a|9|2022-04-26|2022-05-04|9|14.794520547945202
0x541779a8a9Fb972077AB81bE8dF047566c463fc7|10|2022-04-26|2022-05-22|27|44.383561643835634
0x541779a8a9Fb972077AB81bE8dF047566c463fc7|11|2022-04-26|2022-05-14|19|31.23287671232876
0x541779a8a9Fb972077AB81bE8dF047566c463fc7|12|2022-04-26|2022-05-05|10|16.43835616438356
0x541779a8a9Fb972077AB81bE8dF047566c463fc7|13|2022-04-26|2022-05-01|6|9.863013698630136
0x541779a8a9Fb972077AB81bE8dF047566c463fc7|14|2022-04-26|2022-05-13|18|29.589041095890405
0x541779a8a9Fb972077AB81bE8dF047566c463fc7|15|2022-04-26|2022-05-03|8|13.150684931506847
0x541779a8a9Fb972077AB81bE8dF047566c463fc7|16|2022-04-26|2022-05-09|14|23.013698630136982
0x541779a8a9Fb972077AB81bE8dF047566c463fc7|17|2022-04-26|2022-05-23|28|46.02739726027399
0x541779a8a9Fb972077AB81bE8dF047566c463fc7|18|2022-04-26|2022-05-23|28|46.02739726027399
0x541779a8a9Fb972077AB81bE8dF047566c463fc7|19|2022-04-26|2022-06-16|52|85.47945205479452
0x13bc90efC06c044dF62f2Cc55E3B4Fc792B98BC9|20|2022-04-26|2022-05-30|35|57.53424657534251
0x13bc90efC06c044dF62f2Cc55E3B4Fc792B98BC9|21|2022-04-26|2022-05-15|20|32.87671232876712
0x13bc90efC06c044dF62f2Cc55E3B4Fc792B98BC9|22|2022-04-26|2022-05-08|13|21.369863013698627
0x13bc90efC06c044dF62f2Cc55E3B4Fc792B98BC9|23|2022-04-26|2022-05-01|6|9.863013698630136
0x13bc90efC06c044dF62f2Cc55E3B4Fc792B98BC9|24|2022-04-26|2022-05-02|7|11.506849315068491
0x13bc90efC06c044dF62f2Cc55E3B4Fc792B98BC9|25|2022-04-26|2022-05-04|9|14.794520547945202
0x13bc90efC06c044dF62f2Cc55E3B4Fc792B98BC9|26|2022-04-26|2022-05-10|15|24.657534246575338
0x13bc90efC06c044dF62f2Cc55E3B4Fc792B98BC9|27|2022-04-26|2022-05-11|16|26.301369863013694
0x13bc90efC06c044dF62f2Cc55E3B4Fc792B98BC9|28|2022-04-26|2022-06-26|62|101.91780821917804
0x13bc90efC06c044dF62f2Cc55E3B4Fc792B98BC9|29|2022-04-26|2022-05-10|15|24.657534246575338
0x27c5b5ff748088286a9e7B5a793E9e34F6385097|30|2022-04-26|2022-05-05|10|16.43835616438356
0x27c5b5ff748088286a9e7B5a793E9e34F6385097|31|2022-04-26|2022-05-19|24|39.452054794520556
0x27c5b5ff748088286a9e7B5a793E9e34F6385097|32|2022-04-26|2022-05-09|14|23.013698630136982
0x27c5b5ff748088286a9e7B5a793E9e34F6385097|34|2022-04-26|2022-05-03|8|13.150684931506847
0x27c5b5ff748088286a9e7B5a793E9e34F6385097|35|2022-04-26|2022-05-16|21|34.52054794520548
0x27c5b5ff748088286a9e7B5a793E9e34F6385097|36|2022-04-26|2022-05-26|31|50.95890410958907
0x27c5b5ff748088286a9e7B5a793E9e34F6385097|37|2022-04-26|2022-05-20|25|41.095890410958916
0x27c5b5ff748088286a9e7B5a793E9e34F6385097|38|2022-04-26|2022-05-16|21|34.52054794520548
0x27c5b5ff748088286a9e7B5a793E9e34F6385097|39|2022-04-26|2022-05-06|11|18.082191780821915
0x9827A215d3075a65346A8C4284E93792c353fd84|40|2022-04-26|2022-05-11|16|26.301369863013694
0x9827A215d3075a65346A8C4284E93792c353fd84|41|2022-04-26|2022-05-05|10|16.43835616438356
0x9827A215d3075a65346A8C4284E93792c353fd84|42|2022-04-26|2022-05-28|33|54.24657534246579
0x9827A215d3075a65346A8C4284E93792c353fd84|43|2022-04-26|2022-05-31|36|59.17808219178087
0x9827A215d3075a65346A8C4284E93792c353fd84|44|2022-04-26|2022-05-16|21|34.52054794520548
0x9827A215d3075a65346A8C4284E93792c353fd84|45|2022-04-26|2022-05-09|14|23.013698630136982
0x9827A215d3075a65346A8C4284E93792c353fd84|46|2022-04-26|2022-05-28|33|54.24657534246579
0x9827A215d3075a65346A8C4284E93792c353fd84|47|2022-04-26|2022-05-02|7|11.506849315068491
0x9827A215d3075a65346A8C4284E93792c353fd84|48|2022-04-26|2022-05-07|12|19.72602739726027
0x9827A215d3075a65346A8C4284E93792c353fd84|49|2022-04-26|2022-05-05|10|16.43835616438356
0x65c789A38aF425E7509F1Be90AeB9810Ee89E93c|50|2022-04-26|2022-05-22|27|44.383561643835634
0x65c789A38aF425E7509F1Be90AeB9810Ee89E93c|52|2022-04-26|2022-05-25|30|49.31506849315071
0x65c789A38aF425E7509F1Be90AeB9810Ee89E93c|53|2022-04-26|2022-05-10|15|24.657534246575338
0x65c789A38aF425E7509F1Be90AeB9810Ee89E93c|54|2022-04-26|2022-06-01|37|60.821917808219226
0x65c789A38aF425E7509F1Be90AeB9810Ee89E93c|55|2022-04-26|2022-05-01|6|9.863013698630136
0x65c789A38aF425E7509F1Be90AeB9810Ee89E93c|56|2022-04-26|2022-05-07|12|19.72602739726027
0x65c789A38aF425E7509F1Be90AeB9810Ee89E93c|57|2022-04-26|2022-05-13|18|29.589041095890405
0x65c789A38aF425E7509F1Be90AeB9810Ee89E93c|58|2022-04-26|2022-05-15|20|32.87671232876712
0x65c789A38aF425E7509F1Be90AeB9810Ee89E93c|59|2022-04-26|2022-05-23|28|46.02739726027399
0x1c139c86C86075e08Cd7730165eE76900F66BebD|60|2022-04-26|2022-05-10|15|24.657534246575338
0x1c139c86C86075e08Cd7730165eE76900F66BebD|61|2022-04-26|2022-05-29|34|55.89041095890415
0x1c139c86C86075e08Cd7730165eE76900F66BebD|62|2022-04-26|2022-05-30|35|57.53424657534251
